y,x1,x2
287.906,7368.8285,28.163
288.600,7653.916,28.903
265.027,7973.592,29.453
279.919,8318.338,30.178
268.911,8650.076,30.773
331.077,9021.823,32.085
330.169,9390.762,31.898
317.811,9743.166,32.723
294.785,10053.275,33.480
351.415,10434.712,34.659
352.709,10803.927,35.069
353.838,11151.112,36.210
395.896,11569.603,37.861
422.770,12025.759,39.164
456.115,12536.381,40.294
519.242,13106.077,41.580
565.872,13722.319,43.085
546.075,14296.025,43.901
578.716,14888.505,45.436
610.948,15472.192,45.516
573.803,15973.746,46.187
632.934,16485.769,48.000
704.231,17084.226,49.622
781.287,17751.13,51.142
729.545,18319.176,50.297
611.364,18749.454,51.667
728.038,19258.244,53.451
831.902,19880.75,54.350
928.132,20621.346,55.070
960.663,21398.03,54.947
864.001,22033.662,54.899
940.051,22647.426,55.775
821.974,23128.432,55.203
898.689,23675.25,57.653
1143.952,24426.864,58.899
1143.223,25249.576,59.837
1145.030,26067.404,61.640
1177.570,26866.096,61.963
1206.622,27655.802,62.978
1255.431,28460.166,63.557
1223.035,29208.678,64.654
1142.111,29807.548,65.733
1225.331,30447.546,68.665
1323.302,31142.584,68.757
1479.812,31914.476,69.258
1527.290,32739.804,70.046
1660.799,33669.848,71.541
1850.210,34694.968,72.972
2026.302,35854.404,75.183
2198.707,37122.332,77.959
2346.731,38439.588,80.277
2214.626,39627.5,82.436
2195.485,40679.832,86.008
2290.371,41793.132,89.184
2502.552,43024.076,91.960
2670.565,44360.18,93.866
2752.413,45671.956,94.688
2684.138,46844.304,96.184
2462.912,47779.436,96.962
1941.970,48245.684,100.021
2216.478,48728.14,103.288
2362.128,49279.028,103.426
2621.754,49960.6,104.343
2801.473,50633.784,104.664
2951.592,51190.644,105.681
